vuelo,direccion,horario_local,horario_real,horario_estimado,estado,origen_destino,aeropuerto_iata,ruta,aerolinea_codigo,aerolinea_nombre,aerolinea_color,puerta,sector,matricula,modelo_avion,fabricante,icao_type_code,icao24_hex,operador,fuentes,id_externo,confianza,_nota,asientos
1714,Arrival,2026-09-17T13:35,,2026-09-17T14:15,Aterrizó,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-KIT,Boeing 737 MAX 8,Boeing,B38M,e0b254,Aerolineas Argentinas,fids+fr24,9ea3d370-eca7-4965-a0c7-389ede6396fc,real,,170
1715,Departure,2026-09-17T14:05,2026-09-17T14:52,2026-09-17T14:45,Despegó,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-KIT,Boeing 737 MAX 8,Boeing,B38M,e0b254,Aerolineas Argentinas,fids+fr24,ed2d6a53-a484-40c2-9abd-a5b993b008f4,real,,170
1711,Arrival,2026-09-17T14:25,,2026-09-17T16:22,Demorado,Iguazú (IGR),IGR,IGR → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-GUC,Boeing 737-8SH,Boeing,B738,e07543,,fids+fr24,ca2d1504-3a98-412a-9682-448dfd3a8cab,real,,170
1710,Departure,2026-09-17T15:35,2026-09-17T16:20,2026-09-17T16:20,Demorado,Iguazú (IGR),IGR,ROS → IGR,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-GUC,Boeing 737-8SH,Boeing,B738,e07543,,fids+fr24,23908e36-15ff-4683-9056-776dbdc1d480,real,,170
1718,Arrival,2026-09-17T19:30,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-HKV,Boeing 737 MAX 8,BOEING,B38M,e082d6,Aerolineas Argentinas,fids+fr24,e6ca79bb-c311-4d70-8a07-4476545ea7e4,real,,170
1719,Departure,2026-09-17T20:00,,,Programado,Ezeiza (EZE),EZE,ROS → EZE,AR,Aerolíneas Argentinas,#467FBC,,,LV-HKV,Boeing 737 MAX 8,BOEING,B38M,e082d6,Aerolineas Argentinas,fids+fr24,5aa2162d-3a3d-492d-ae2b-a870e69ce7d1,real,,170
882,Arrival,2026-09-18T00:12,,,Programado,Panamá (PTY),PTY,PTY → ROS,CM,Copa Airlines,#15349E,,,,Boeing 737-800,Boeing,B738,,,fids+fr24,b7f271cc-0d26-447a-8ee7-d3f2523f3c90,historico,histórico FR24,160
7722,Arrival,2026-09-18T01:10,,,Programado,Río de Janeiro (GIG),GIG,GIG → ROS,G3,GOL Linhas Aéreas,#E27B2E,,,,Boeing 737-800,Boeing,B38M,,,fids+fr24,9676c429-1fd0-427d-9417-c5dbde891194,historico,histórico FR24,186
836,Departure,2026-09-18T01:23,2026-09-18T01:23,,Programado,Panamá (PTY),PTY,ROS → PTY,CM,Copa Airlines,#15349E,,,,Boeing 737-800,Boeing,B738,,,fids+fr24,3de6fc63-949c-46f5-8e76-236ec886f869,historico,histórico FR24,160
7723,Departure,2026-09-18T02:10,2026-09-18T02:10,,Programado,Río de Janeiro (GIG),GIG,ROS → GIG,G3,GOL Linhas Aéreas,#E27B2E,,,,Boeing 737 MAX 8,Boeing,B38M,,,fids+fr24,ae6ba3df-ce19-4658-ae27-e20886f9032e,historico,histórico FR24,186
6676,Arrival,2026-09-18T02:33,,,Programado,Punta Cana (PUJ),PUJ,PUJ → ROS,DM,Arajet,#482C72,,,,Boeing 737 MAX 8,Boeing,B38M,,,fids+fr24,f1c1184d-7198-471e-85ff-994d415637f2,historico,histórico FR24,185
W14256,Arrival,2026-09-18T02:33,,,Scheduled,Punta Cana International Airport (PUJ),PUJ,PUJ → ROS,DM,Arajet,,,,,Boeing 737 MAX 8,Boeing,B38M,,,fr24,,cache_modelo,modelo del cache,185
6677,Departure,2026-09-18T03:39,,,Programado,Punta Cana (PUJ),PUJ,ROS → PUJ,DM,Arajet,#482C72,,,,Boeing 737 MAX 8,Boeing,B38M,,,fids+fr24,11d5013d-b6c2-4c94-bcd5-dcfa5445467b,historico,histórico FR24,185
W14257,Departure,2026-09-18T03:39,,,Scheduled,Punta Cana International Airport (PUJ),PUJ,ROS → PUJ,DM,Arajet,,,,,Boeing 737 MAX 8,Boeing,B38M,,,fr24,,cache_modelo,modelo del cache,185
899,Arrival,2026-09-18T03:47,,,Programado,Panamá (PTY),PTY,PTY → ROS,CM,Copa Airlines,#15349E,,,,Boeing 737-800,Boeing,B738,,,fids+fr24,731a0f2f-5443-4d36-91a0-7c48b732478f,historico,histórico FR24,160
897,Departure,2026-09-18T05:09,2026-09-18T05:09,,Programado,Panamá (PTY),PTY,ROS → PTY,CM,Copa Airlines,#15349E,,,,Boeing 737 MAX 8,,B738,,,fids+fr24,dc92539f-bc4a-47b5-bf11-89cd0a18774f,cache_modelo,modelo del cache,160
2432,Arrival,2026-09-18T06:10,,,Programado,Lima (LIM),LIM,LIM → ROS,LA,LATAM Airlines,#0B044E,,,CC-CPM,Airbus A319-132,Airbus,A319,e80260,,fids+fr24,fbc63f81-ec97-45b8-b33c-872857f56b69,real,,144
1708,Arrival,2026-09-18T07:30,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-CDY,Embraer E190AR,Embraer,E190,e03119,,fids+fr24,d677c888-08c2-4bff-802a-7c7c28a0d353,real,modelo del cache,96
2433,Departure,2026-09-18T07:40,2026-09-18T07:51,,Programado,Lima (LIM),LIM,ROS → LIM,LA,LATAM Airlines,#0B044E,,,CC-CPM,Airbus A319-132,Airbus,A319,e80260,,fids+fr24,edc6eee2-dd4b-4ef0-9c4c-44e6c610b67e,real,,144
1709,Departure,2026-09-18T08:00,,,Programado,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,,,LV-CDY,Embraer E190AR,Embraer,E190,e03119,,fids+fr24,a2ea1725-13f7-4e58-a551-c372cede6ba7,real,modelo del cache,96
1704,Arrival,2026-09-18T09:40,,,Programado,Bariloche (BRC),BRC,BRC → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-FSK,Boeing 737-8BK,Boeing,B738,e064cb,,fids+fr24,1f84d5d6-db5b-4f1e-a023-16fea5b54d8d,real,,170
1715,Departure,2026-09-18T10:20,,,Programado,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,,,LV-FSK,Boeing 737-8BK,Boeing,B738,e064cb,,fids+fr24,364d2a87-ce68-458c-9b67-d918a12a0395,real,,170
8170,Arrival,2026-09-18T11:40,,,Programado,São Paulo (GRU),GRU,GRU → ROS,LA,LATAM Airlines,#0B044E,,,PR-TQC,Airbus A320-214,AIRBUS,A320,e49763,,fids+fr24,cfafa1f3-bbcb-4e2c-a299-5c95155b9d50,real,,174
8171,Departure,2026-09-18T12:40,2026-09-18T12:51,,Programado,São Paulo (GRU),GRU,ROS → GRU,LA,LATAM Airlines,#0B044E,,,PR-TQC,Airbus A320-214,AIRBUS,A320,e49763,,fids+fr24,01e6efa0-f986-4d1f-b7ab-efa77895a877,real,,174
1716,Arrival,2026-09-18T16:25,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-KEJ,Boeing 737 MAX 8,BOEING,B38M,e0b14a,,fids+fr24,5ce638cf-7a8b-440b-86d9-198081a1aca9,real,,170
1705,Departure,2026-09-18T17:15,,,Programado,Bariloche (BRC),BRC,ROS → BRC,AR,Aerolíneas Argentinas,#467FBC,,,LV-KEJ,Boeing 737 MAX 8,BOEING,B38M,e0b14a,,fids+fr24,8b18bb05-dc1e-40bb-834f-3419ee8388c2,real,,170
1076,Arrival,2026-09-18T18:50,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,,Boeing 737-800,Boeing,B738,,,fids,0aa57c13-2051-41a9-afba-f6925d59a518,cache_modelo,modelo del cache,170
1976,Departure,2026-09-18T19:30,,,Programado,Santa Cruz Viru Viru (VVI),VVI,ROS → VVI,AR,Aerolíneas Argentinas,#467FBC,,,,Boeing 737-800,Boeing,B738,,,fids,6f2273c4-eb7f-4963-90a3-5c18a942cf12,cache_modelo,modelo del cache,170
1712,Arrival,2026-09-18T20:30,,,Programado,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-BYY,Embraer E190,Embraer,E190,e02659,,fids+fr24,d0f55bc4-fdf9-436a-885c-1bdbe2697034,real,histórico FR24,137
1713,Departure,2026-09-18T21:10,,,Programado,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,,,LV-FVN,Embraer E190,Embraer,E190,e0658e,,fids+fr24,b69e2aa8-edfd-4c0f-b7b7-74cb58b600e2,real,mismo avión que 1712 (ARR),96
